Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2023 ( Bersih ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,Luas Lahan,IP
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,
Tanjung Morawa,1150,987,6168.75,570,404,2525,192,340,2125,100,1150,7187.5,500,570,3562.5,6733,6642,41512.5,2417,2.785684733,,,,,,,,,,,,,,,,,,,,,
Patumbak,100,75,468.75,45,60,375,66,50,312.5,20,100,625,0,45,281.25,551,682,4262.5,217,2.539170507,,,,,,,,,,,,,,,,,,,,,
Deli Tua,2,6,37.5,6,3,18.75,0,2,12.5,2,2,12.5,2,6,37.5,31,29,181.25,14,2.214285714,,,,,,,,,,,,,,,,,,,,,
Sunggal,350,365,2281.25,520,300,1875,59,454,2837.5,750,350,2187.5,350,520,3250,4139,4260,26625,1563,2.648112604,,,,,,,,,,,,,,,,,,,,,
Hamparan Perak,1352,1060,6625,1200,1640,10250,0,1638,10237.5,1000,1352,8450,1352,1200,7500,13964,13372,83575,5678,2.459316661,,,,,,,,,,,,,,,,,,,,,
Labuhan Deli,680,955,5968.75,952,1210,7562.5,600,1200,7500,648,680,4250,680,952,5950,8628,9520,59500,3559,2.424276482,,,,,,,,,,,,,,,,,,,,,
Percut S Tuan,460,1086,6787.5,1229,2123,13268.75,450,1425,8906.25,1425,460,2875,460,1229,7681.25,10940,11437,71481.25,5078,2.154391493,,,,,,,,,,,,,,,,,,,,,
Batang Kuis,40,140,875,120,200,1250,210,680,4250,680,40,250,122,120,750,2990,2998,18737.5,1019,2.934249264,,,,,,,,,,,,,,,,,,,,,
Pantai Labu,650,1220,7625,1390,670,4187.5,0,1737,10856.25,1393,650,4062.5,1150,1390,8687.5,9758,11425,71406.25,4144,2.35472973,,,,,,,,,,,,,,,,,,,,,
Beringin,780,990,6187.5,990,430,2687.5,672,502,3137.5,510,780,4875,780,990,6187.5,7525,7313,45706.25,2680,2.807835821,,,,,,,,,,,,,,,,,,,,,
Lubuk Pakam,350,480,3000,400,531,3318.75,325,329,2056.25,329,350,2187.5,350,400,2500,4111,4051,25318.75,1441,2.852879944,,,,,,,,,,,,,,,,,,,,,
Pagar Merbau,190,925,5781.25,924,400,2500,328,228,1425,280,190,1187.5,90,924,5775,4383,4838,30237.5,2087,2.100143747,,,,,,,,,,,,,,,,,,,,,
JUMLAH,6676,9394,58712.5,9191,9012,56325,3827,9231,57693.75,7905,6676,41725,6456,9143,57143.75,82689,85294,533087.5,33992,2.432601789,,,,,,,,,,,,,,,,,,,,,
