Luas Tanam Panen dan Produksi Komoditi Padi Tahun 2021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Januari,,,Februari,,,Maret,,,April,,,Mei,,,Juni,,,Juli ,,,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kecamatan,Agustus,,,Sept,,,Okt,,,Nov,,,Des,,,Total,,,IP,,,,,,,,,,,,,,,,,,,,,,,
,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,Tanam,Panen,produksi,,,,,,,,,,,,,,,,,,,,,,,,
Gunung Meriah,103.8,14.4,90,30.8,124,775,19.2,206.6,1291.25,460.4,48.1,300.625,78.8,30.8,192.5,1158.1,989.9,6186.875,2.392768595,,484,,,,,,,,,,,,,,,,,,,,,
Stm Hulu,0,0,0,19.2,155.7,973.125,132.6,171.1,1069.375,447,0,0,0,19.2,120,1095.6,885.2,5532.5,3.00989011,,364,,,,,,,,,,,,,,,,,,,,,
Sibolangit,0,90.3,564.375,219.1,128.8,805,0,28.8,180,28.8,0,0,0,219.1,1369.375,520.8,517,3231.25,2.018604651,,258,,,,,,,,,,,,,,,,,,,,,
Kutalimbaru,27.9,14.4,90,19.2,192.2,1201.25,28.8,210.5,1315.625,354.6,27.9,174.375,27.9,19.2,120,1076.3,919.7,5748.125,2.402455357,,448,,,,,,,,,,,,,,,,,,,,,
Pancur Batu,34.6,53.8,336.25,25.9,9.6,60,9.6,150.9,943.125,144.2,34.6,216.25,34.6,25.9,161.875,595.8,621.7,3885.625,2.671748879,,223,,,,,,,,,,,,,,,,,,,,,
Namo Rambe,9.6,163.4,1021.25,284.5,292.2,1826.25,96.1,366.2,2288.75,258.5,14.4,90,9.6,284.5,1778.125,1624.4,1713.8,10711.25,2.406518519,,675,,,,,,,,,,,,,,,,,,,,,
Biru-biru,81.7,9.6,60,72.1,103.8,648.75,68.2,245.1,1531.875,272,81.7,510.625,81.7,72.1,450.625,1463.7,1348.4,8427.5,2.84766537,,514,,,,,,,,,,,,,,,,,,,,,
Stm Hilir,14.4,81.7,510.625,81.7,184.5,1153.125,141.3,74,462.5,102.8,42.3,264.375,14.4,81.7,510.625,979.2,930.3,5814.375,2.766101695,,354,,,,,,,,,,,,,,,,,,,,,
Bangun Purba,14.4,48.1,300.625,48.1,0,0,0,0,0,0,14.4,90,14.4,48.1,300.625,139.4,182.7,1141.875,2.144615385,,65,,,,,,,,,,,,,,,,,,,,,
